argument_id,attorney_name,firm,side,role,source
2014-0327,Richard C. Guerriero,"Lothstein Guerriero, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0358,Brian C. Shaughnessy,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0358,Jennifer R. Cook,"Welts, White & Fontaine, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0407,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0407,Bradford R. Stanton,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0428,Michael J. Tierney,"Wadleigh, Starr & Peters, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0428,Anthony M. Ambriano,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0595,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0595,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0596,Bruce W. Felmly,"McLane Middleton, Professional Association",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0596,Andru H. Volinsky,"Bernstein, Shur, Sawyer & Nelson, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0411,Patrick J. Sheehan,"Sulloway & Hollis, P.L.L.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0411,Doreen F. Connor,Primmer Piper Eggleston & Cramer PC,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0116,Stephen D. Fuller,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0116,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0254,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0254,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0257,C. Kevin Leonard,"Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0257,Christopher H.M. Carter,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0420,"Thomas B. Quarles, Jr.","Devine, Millimet & Branch, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0420,Christopher W. Driscoll,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0424,John S. Krupski,"Milner & Krupski, PLLC",state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0424,Nancy J. Smith,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0465,Michele E. Kenney,Pierce Atwood LLP,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0465,Talesha L. Caynon,"Bernstein, Shur, Sawyer & Nelson, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0703,William D. Woodbury,"Normandin, Cheney & O'Neil, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0703,Corey M. Belobrow,"Maggiotto & Belobrow, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0458,Rebecca L. Woodard,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0458,Paul M. Monzione,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0496,B.J. Branch,"Backus, Meyer & Branch, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0496,Robert J. Meagher,"McDonough, O'Shaughnessy, Whaland & Meagher, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0509,David W. Rayment,"Cleveland, Waters and Bass, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0509,Mark B. Johnson,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0512,"Bryan J. Townsend, II",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0512,Matthew R. Serge,"Upton & Hatfield, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0540,Benjamin T. King,"Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0540,"Daniel D. Muller, Jr.","Cronin, Bisson & Zalinsky, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0558,William E. Christie,"Shaheen & Gordon, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0558,Stephen G. LaBonte,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0635,Tony F. Soltani,The MuniLaw Group,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0635,John A. Curran,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0686,Jesse J. O’Neill,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0686,Edward J. Sackman,"Bernstein, Shur, Sawyer & Nelson, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0145,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0145,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0256,David P. Eby,"Devine, Millimet & Branch, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0256,Doreen F. Connor,Primmer Piper Eggleston & Cramer PC,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0504,Russell F. Hilliard,"Upton & Hatfield, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0638,"Gordon A. Rehnborg, Jr.",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0638,Lanea A. Witkus,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0623,Lisa L. Wolford,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0623,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0133,Doreen F. Connor,Primmer Piper Eggleston & Cramer PC,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0133,William E. Aivalikles,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0291,Michael D. Ramsdell,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0291,Patricia M. Panciocco,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
