source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2000-192,opinion,"[""2000-192""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002052demauro.pdf,source_case_number_and_caption,high,generated
2001-027,opinion,"[""2001-027""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002051dupont.pdf,source_case_number_and_caption,high,generated
2000-509,opinion,"[""2000-509""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002050collins.pdf,source_case_number_and_caption,high,generated
2002049irvin,opinion,"[""2001-047""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002049irvin.pdf,caption_text,high,generated
2002048houston,opinion,"[""2000-705""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002048houston.pdf,caption_text,high,generated
2000-803,opinion,"[""2000-803""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002046butland.pdf,source_case_number_and_caption,high,generated
2000-395,opinion,"[""2000-395""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002045valence.pdf,source_case_number_and_caption,high,generated
2001-032,opinion,"[""2001-032""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002047nanking.pdf,source_case_number_and_caption,high,generated
2000-820,opinion,"[""2000-820""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002043levreault.pdf,source_case_number_and_caption,high,generated
2000-744,opinion,"[""2000-744""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002042perkins.pdf,source_case_number_and_caption,high,generated
2002044kersey,opinion,"[""2001-006""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002044kersey.pdf,caption_text,high,generated
2000-335,opinion,"[""2000-335""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002038university.pdf,source_case_number_and_caption,high,generated
2001-087,opinion,"[""2001-087""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002040kelly.pdf,source_case_number_and_caption,high,generated
2001-010,opinion,"[""2001-010""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002039minuteman.pdf,source_case_number_and_caption,high,generated
2001-308,opinion,"[""2001-308""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002037mcgrath.pdf,source_case_number_and_caption,high,generated
2001-018,opinion,"[""2001-018""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002036cadreact.pdf,source_case_number_and_caption,high,generated
2001-045,opinion,"[""2001-045""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002033litvin.pdf,source_case_number_and_caption,high,generated
2001-056,opinion,"[""2001-056""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002035libby.pdf,source_case_number_and_caption,high,generated
2001-053,opinion,"[""2001-053""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002034panciocco.pdf,source_case_number_and_caption,high,generated
2000-527,opinion,"[""2000-527""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002029spaulding.pdf,source_case_number_and_caption,high,generated
2000-556,opinion,"[""2000-556""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002031yannafol.pdf,source_case_number_and_caption,high,generated
