argument_id,disposition_id,disposition_type,link_method,link_confidence,is_final_disposition
2018-0328,2018-0328,case_order,docket_match,high,True
2018-0184,2018-0184,3jx_order,docket_match,high,True
2018-0234,2018-0234,3jx_order,docket_match,high,True
2018-0245,2018-0245,3jx_order,docket_match,high,True
2018-0332,2018-0332,opinion,docket_match,high,True
2018-0479,2018-0479,opinion,docket_match,high,True
2018-0517,2018-0517,opinion,docket_match,high,True
2017-0541,2017-0541,3jx_order,docket_match,high,True
2018-0280,2018-0280,3jx_order,docket_match,high,True
2018-0130,2018-0130,opinion,docket_match,high,True
2018-0171,2018-0171,opinion,docket_match,high,True
2018-0202,2018-0202,opinion,docket_match,high,True
2018-0468,2018-0468,opinion,docket_match,high,True
2018-0495,2018-0495,opinion,docket_match,high,True
2018-0561,2018-0561,case_order,docket_match,high,True
2018-0604,2018-0604,opinion,docket_match,high,True
2017-0361,2017-0361,opinion,docket_match,high,True
2018-0526,2018-0526,opinion,docket_match,high,True
2018-0648,2018-0648,opinion,docket_match,high,True
2018-0675,2018-0675,opinion,docket_match,high,True
2018-0264,2018-0264,opinion,docket_match,high,True
2018-0310,2018-0310,case_order,docket_match,high,True
2018-0347,2018-0347,case_order,docket_match,high,True
2018-0491,2018-0491,opinion,docket_match,high,True
2017-0542,2017-0542,3jx_order,docket_match,high,True
2018-0284,2018-0284,3jx_order,docket_match,high,True
2018-0436,2018-0436,3jx_order,docket_match,high,True
2018-0292,2018-0292,opinion,docket_match,high,True
2018-0355,2018-0355,opinion,docket_match,high,True
2018-0537,2019071newenglandbackflow,opinion,docket_match,high,True
2018-0617,,case_order,docket_match,review,True
2018-0141,2019072lane,opinion,docket_match,high,True
2018-0229,2018-0229,case_order,docket_match,high,True
2018-0624,2018-0624,opinion,docket_match,high,True
2018-0439,2018-0439,3jx_order,docket_match,high,True
2019-0003,2019-0003,3jx_order,docket_match,high,True
2018-0327,2018-0327,opinion,docket_match,high,True
2018-0490,2018-0490,opinion,docket_match,high,True
2018-0591,2018-0591,opinion,docket_match,high,True
2018-0649,2018-0649,opinion,docket_match,high,True
2018-0318,2018-0318,opinion,docket_match,high,True
2018-0464,2019073barr,opinion,docket_match,high,True
2018-0545,2018-0545,case_order,docket_match,high,True
2018-0570,2018-0570,opinion,docket_match,high,True
2018-0637,2018-0637,opinion,docket_match,high,True
2017-0336,2020040turcotte,opinion,docket_match,high,True
